Date,id,sales,asins,brand,categories,name,Price
2016-12-14,8,66356.04256167109,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2016-12-21,8,68800.74945114978,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2016-12-28,8,71236.31965112418,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2017-01-04,8,72016.25400975907,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2017-01-11,8,71098.71740899615,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2017-01-18,8,70269.19882073453,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2017-01-25,8,71617.80114803732,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2017-02-01,8,75570.14164241245,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2017-02-08,8,80247.71857564177,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2017-02-15,8,82818.5769081686,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2016-11-09,9,14709.09539393378,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2016-11-16,9,15685.376909235221,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2016-11-23,9,16042.826972522242,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2016-11-30,9,15621.637601359409,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2016-12-07,9,15054.640768210515,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
2016-12-14,9,14990.965835489473,B06XSJ14DN,AAA+Shea+Butter,Bath & Shower, 100% Unrefined Certified Grade A Shea Butter with a Hint of Organic Lavender Essential Oil 1 oz. By AAA Shea Butter ,2654.0
